Case UPC,Item UPC,Client,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
45216,45216,JMSMUC,3 / 20 / OZ,MKB PUP TRICK OR TRT BAGS,LP403253,MKB SNCKS 17 OZ,PET MKB,3
45431,45431,JMSMUC,6 / 4 / OZ,MKB GINGBRD FL BN TRT BOX,LP403583,MKB TREAT BOX 4 OZ,PET MKB,6
45512,45512,JMSMUC,2 / 66 / OZ,MM SEAFD SLCTS VP 24PK,LP400853,MM WET VP 24 CT 2.75 OZ,PET MM,2
32163,32163,JMSMUC,7 / 8 / OZ,MKB DD VAN GLZ FLV DIP DT,LP404778,MILK BONE 7/8 OX,PET MKB,7
46019,46019,JMSMUC,6 / 9 / OZ,BUSTELO NIC BLEND R&G,LP402960,BS ORGN CAN 9-10 OZ,COFFEE BS,6
46032,46032,JMSMUC,6 / 8 / OZ,MKB CEL BDAY CAKE BSCT SM,LP403440,MKB TRAIL MIX 8 - 9 OZ,PET MKB,6
46198,45418,JMSMUC,6 / 18 / OZ,MEOW MX ORG SU RSLBL PCH,LP400858,MM DRY EX SMALL BAG 18 OZ,PET MM,6
47225,47225,JMSMUC,6 / 11 / OZ,BS LIGHT R&G CFFE PPK,LP404693,BS COFFEE PPK 6/11 OZ,COFFEE BS,6
32899,32163,JMSMUC,20 / 8 / OZ,MKB DNKN DNUT VAN TRT DS,LP403831,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,20
47998,47998,JMSMUC,6 / 3.5 / OZ,BS MEDIUM RST 10 CT KCUP,LP404720,CAFE BUSTELO K CUP 10 CT,COFFEE BS,6
60985,49780,JMSMUC,48 / 8 / OZ,MKB FALL APPLE CINN DT DS,LP404876,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,48
44226,41821,JMSMUC,48 / 8 / OZ,MKB FALL PUP-KIN DT DS,LP040908,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,48
48117,48117,JMSMUC,12 / 16.5 / OZ,SM SQZ SF STRAWBERRY,LP403672,SM SUGAR FREE SQUEEZE 16.5 OZ,FHS SM,12
48121,48121,JMSMUC,4 / 40.8 / OZ,MILK-BONE CMFT CHW BF DT,LP403629,MKB CHWS 40.8 OZ,PET MKB,4
48940,48940,JMSMUC,2 / 25 / OZ,MILK-BONE S&C BACON,LP400933,MKB SOFT CHWY 25 OZ,PET MKB,2
24485B,94545,JMSMUC,16 / 10 / OZ,MKB GINGERBREAD DIPD SHPR,LP404874,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,16
66797,66797,JMSMUC,16 / 2.9 / OZ,MKB HOLIDAY VAN DIP BSCTS,LP403888,MILK BONE 16/2.9 OZ,PET MKB,16
72850,25482,JMSMUC,60 / 4.5 / OZ,MKB PB BITES DISPLAY,LP404929,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,60
41821,41821,JMSMUC,8 / 8 / OZ,MKB PMK SPC SM BSCT BAG,LP403885,MILK BONE 1/8 OZ,PET MKB,8
54191,,JMSMUC,60 / 4.5 / EA,MKB PNT BTR BITES FS,LP404602,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,60
92826,,JMSMUC,48 / 1 / EA,MKB PPERONI MIXED DISPLAY,LP401971,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,48
675,675,JMSMUC,12 / 18 / OZ,SM APRICOT PRESERVES,LP400201,SM GOOBER 18 OZ,FHS SM,12
50225,50225,JMSMUC,1 / 16 / LB,MEOW MIX ORIGINAL,LP400864,MM DRY LRG BAG 12-16 OZ,PET MM,1
50229,50225,JMSMUC,1 / 14.2 / LB,MEOW MIX SEAFOOD MEDLEY,LP400864,MM DRY LRG BAG 12-16 OZ,PET MM,1
50230,50230,JMSMUC,1 / 14.2 / LB,MEOW MIX INDOOR,LP400864,MM DRY LRG BAG 12-16 OZ,PET MM,1
50236,50236,JMSMUC,2 / 66 / OZ,MM PLTRY BF FVT VP 24PK,LP400853,MM WET VP 24 CT 2.75 OZ,PET MM,2
33609,23963,JMSMUC,20 / 12 / OZ,MKB RED WHITE & WOOF FS,,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,20
82126,,JMSMUC,36 / 1 / EA,MKB SOFT & CHEWY TIN FS,LP403587,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,36
43440,,JMSMUC,28 / 1 / EA,MKB SPRING MIXED FS,LP404581,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,28
79380,,JMSMUC,18 / 1 / EA,MKB SPRNG DPD/TRAIL MX FS,,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,18
50559,50559,JMSMUC,4 / 10 / LB,MEOW MIX ORIGINAL CHOICE,LP400832,MM 10 LB,PET MM,4
94737,,JMSMUC,20 / 1 / EA,MKB STF N DIP CONV FS,LP403749,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,20
21,21,JMSMUC,12 / 12.25 / OZ,SMUCKER CARAMEL TOPPING,LP400224,SM PB SPOONABLE,FHS SM,12
677,677,JMSMUC,12 / 18 / OZ,SMUCKERS CHERRY PRESERVES,LP400201,SM GOOBER 18 OZ,FHS SM,12
24943,73623,JMSMUC,16 / 10 / OZ,MKB STRAWBERRY DIPPED FS,LP404580,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,16
92228,26129,JMSMUC,24 / 24 / OZ,MKB SUPERMAN DS,LP404783,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,24
65779,67861,JMSMUC,16 / 10 / OZ,MKB TSTD MRSHMLW DPD SHPR,LP404843,COFF SHIPPERS/DISPLAYS/PALLETS,PET MKB,16
49834,,JMSMUC,30 / 1 / EA,MKB VALENTINE DOG TRT DS,LP403793,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,30
51009,51009,JMSMUC,100 / 1.4 / OZ,SMUCKERS BREAKFAST SYRUP,LP400242,SM BRKFST SYRUP 1 OZ,FHS SM,100
51016,51016,JMSMUC,2 / 66 / OZ,MM PLTRY SLCTS VP 24PK,LP400853,MM WET VP 24 CT 2.75 OZ,PET MM,2
90152,50225,JMSMUC,20 / 16 / LB,MM DRY CAT FOOD HLF PLT,LP403743,PET SHIPPERS/DISPLAY/PALLETS,,20
70012,,JMSMUC,60 / 3 / OZ,MM IRRESISTIBLES VLNTN DS,,DISPLAY ONLY ITEMS,,60
38871,,JMSMUC,12 / 1 / EA,MM SM BG GB TB FSTD,,PET SHIPPERS/DISPLAY/PALLETS,,12
50572,50572,JMSMUC,4 / 33 / OZ,MM SURF N TURF VP 12PK,LP400850,MEOW MX 4/33 OZ,,4
00678A,678,JMSMUC,12 / 18 / OZ,SMUCKERS GRAPE JAM,LP400203,SM GOOBER 18 OZ,FHS SM,12
51524,51524,JMSMUC,4 / 33 / OZ,MM TNA SHRMP LVRS 12PK,LP400850,MEOW MX 4/33 OZ,,4
51229,51229,JMSMUC,4 / 33 / OZ,MM WT PT SEAFD PTY 12PK,LP400850,MEOW MX 4/33 OZ,,4
20101,20101,JMSMUC,12 / 16 / OZ,PILON BRICK,LP400486,PI BRICK BAG 16 OZ,COFFEE PI,12
51305,51305,JMSMUC,6 / 9 / OZ,MKB MINI BEEF TRAILMIX,LP400891,MKB TRAIL MIX 8 - 9 OZ,PET MKB,6
652,10101,JMSMUC,12 / 10 / OZ,PILON BRICK,LP400492,PI BRICK BAG 10 OZ,COFFEE PI,12
51362,51352,JMSMUC,6 / 17 / OZ,MKB MED ORGL BISCUIT,LP400943,MKB ORG MINI BISCUITS 15 OZ,PET MKB,6
51363,94203,JMSMUC,6 / 19 / OZ,MKB SMLMD GRVY BNE,LP400940,MKB TREATS 18-19 OZ,PET MKB,6
51410,51410,JMSMUC,12 / 24 / OZ,MILK BONE ORIGINAL MEDIUM,LP400870,MKB BISCUITS HIGH TIER 16-24 O,PET MKB,12
51411,51411,JMSMUC,12 / 24 / OZ,MILK BONE LRGE ORIG DOG,LP400870,MKB BISCUITS HIGH TIER 16-24 O,PET MKB,12
67874,10105,JMSMUC,6 / 7.05 / OZ,PILON INST CFFE,LP400477,PI CAN 36 OZ,COFFEE PI,6
00679A,679,JMSMUC,6 / 20 / OZ,DN DEC GR ORIGINAL BLEND,LP401405,DN PPK BAG 18.4-20 OZ,COFFEE DN,6
29783,10121,JMSMUC,6 / 16 / OZ,PILON WB GOURMET,LP400485,PI GRMT PPK 16 OZ,COFFEE PI,6
51598,20100,JMSMUC,4 / 32 / OZ,PILON WB GOURMET,LP400484,PI GRMT PPK 32 OZ,COFFEE PI,4
51860,51860,JMSMUC,4 / 20 / OZ,MILK-BONE TRAIL MIX,LP400938,MKB MARO SNCKS 24 OZ,PET MKB,4
51912,51912,JMSMUC,1 / 13.5 / LB,MM TC VITALITY BURST,LP403689,MM TC DRY LARGE BAG 13.5 OZ,PET MM,1
00078A,78,JMSMUC,10 / 3 / OZ,POUNCE MOIST CHCKN,,POUNCE 10/3 OZ,,10
52000,52000,JMSMUC,12 / 4.5 / OZ,CANINE CARRY OUTS BEEF,LP401541,CCO SNCKS CHW 14 OZ,PET CCO,12
52001,52000,JMSMUC,6 / 4.5 / OZ,CANINE CARRY OUT BEEF,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
52002,52002,JMSMUC,10 / 4.5 / OZ,CCO BACON,LP401541,CCO SNCKS CHW 14 OZ,PET CCO,10
52003,52002,JMSMUC,5 / 4.5 / OZ,CANINE CARRY OUT BACON,LP401541,CANINE CARRY OUTS 5/4.5 OZ,PET CCO,5
52004,52004,JMSMUC,12 / 4.5 / OZ,CCO STEAK BITES,LP401541,CCO SNCKS CHW 14 OZ,PET CCO,12
00679B,679,JMSMUC,12 / 18 / OZ,SM SWT ORANGE MARMALADE,LP403447,SM GOOBER 18 OZ,FHS SM,12
52005,52004,JMSMUC,6 / 4.5 / OZ,CCO STEAK BITES 6CT,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
52006,52006,JMSMUC,12 / 4.5 / OZ,CANINE CARRY OUT CHICKEN,LP401541,CCO SNCKS CHW 14 OZ,PET CCO,12
52008,52006,JMSMUC,6 / 4.5 / OZ,CANINE CARRY OUT CHICKEN,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
52009,52009,JMSMUC,12 / 4.5 / OZ,CCO BEEF & BACON,LP401541,CCO SNCKS CHW 14 OZ,PET CCO,12
52010,52009,JMSMUC,6 / 4.5 / OZ,CCO BEEF & BACON,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
52011,52011,JMSMUC,6 / 4.5 / OZ,CCO HOT DOG MINIS,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
52012,52012,JMSMUC,12 / 4.5 / OZ,CCO BURGER MINIS BEEF,LP401541,CCO SNCKS CHW 14 OZ,PET CCO,12
52013,52012,JMSMUC,6 / 4.5 / OZ,CCO BURGER MINIS BF,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
52014,52014,JMSMUC,12 / 4.5 / OZ,CCO SGE LK BF,LP401541,CCO SNCKS CHW 14 OZ,PET CCO,12
52015,52014,JMSMUC,6 / 4.5 / OZ,CCO SGE LK BF,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
00680A,680,JMSMUC,6 / 20 / OZ,DN CAF GR FRENCH VANILLA,LP401405,DN PPK BAG 18.4-20 OZ,COFFEE DN,6
52018,52018,JMSMUC,6 / 4.5 / OZ,CCO TACO MINIS BEEF,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
52019,52019,JMSMUC,10 / 4.5 / OZ,CCO BACON CHEESE,LP401541,CANINE CARRY OUTS 10/4.5-5 OZ,PET CCO,10
52020,52019,JMSMUC,5 / 4.5 / OZ,CCO BACON & CHEESE,LP401541,CANINE CARRY OUTS 5/4.5 OZ,PET CCO,5
52021,52021,JMSMUC,12 / 4.7 / OZ,CCO BEEF AND CHEESE,LP401541,CCO SNCKS CHW 14 OZ,PET CCO,12
52022,52021,JMSMUC,6 / 4.7 / OZ,CCO BEEF AND CHEESE,LP401541,CANINE CARRY OUTS 6/4.5-4.7 OZ,PET CCO,6
52023,52023,JMSMUC,6 / 22.5 / OZ,CANINE CARRY OUT BEEF,LP401547,CANINE CARRY OUTS 6/22.5 OZ,PET CCO,6
52024,52023,JMSMUC,4 / 22.5 / OZ,CANINE CARRY OUT BEEF,LP401547,CANINE CARRY OUTS 4/22.5 OZ,PET CCO,4
52025,52025,JMSMUC,6 / 22.5 / OZ,CCO BACON,LP401547,CANINE CARRY OUTS 6/22.5 OZ,PET CCO,6
52026,52025,JMSMUC,4 / 22.5 / OZ,CANINE CARRY OUT BACON,LP401547,CANINE CARRY OUTS 4/22.5 OZ,PET CCO,4
52027,52027,JMSMUC,6 / 22.5 / OZ,CCO BACON & CHEESE,LP401547,CANINE CARRY OUTS 6/22.5 OZ,PET CCO,6
00680B,680,JMSMUC,12 / 18 / OZ,SMCKR PEACH PRESERVES,LP403447,SM GOOBER 18 OZ,FHS SM,12
52029,52028,JMSMUC,4 / 22.5 / OZ,CCO STEAK BITES,LP401547,CANINE CARRY OUTS 4/22.5 OZ,PET CCO,4
52030,52030,JMSMUC,6 / 22.5 / OZ,CCO BURGER MINIS BEEF,LP401547,CANINE CARRY OUTS 6/22.5 OZ,PET CCO,6
52031,52031,JMSMUC,6 / 22.5 / OZ,CANINE CARRY OUT CHICKEN,LP401547,CANINE CARRY OUTS 6/22.5 OZ,PET CCO,6
52032,52031,JMSMUC,4 / 22.5 / OZ,CANINE CARRY OUT CHICKEN,LP401547,CANINE CARRY OUTS 4/22.5 OZ,PET CCO,4
52033A,52033,JMSMUC,2 / 66 / OZ,MM CLASSIC FVT VP 24PK,LP400853,MM WET VP 24 CT 2.75 OZ,PET MM,2
52033B,52033,JMSMUC,6 / 22.5 / OZ,CCO BEEF & BACON,LP401547,CANINE CARRY OUTS 6/22.5 OZ,PET CCO,6
52034A,52033,JMSMUC,4 / 22.5 / OZ,CCO BEEF AND BACON,LP401547,CANINE CARRY OUTS 4/22.5 OZ,PET CCO,4
52034B,52034,JMSMUC,1 / 22 / LB,MM ORIGINAL XL WP BG,LP400848,MM DRY EX LRG BAG 22 LB,PET MM,1
52035,52035,JMSMUC,4 / 22.5 / OZ,CCO HOT DOG MINIS,LP401547,CANINE CARRY OUTS 4/22.5 OZ,PET CCO,4
52036,52036,JMSMUC,6 / 22.5 / OZ,CCO SAUSAGE LINK BEEF,LP401547,CANINE CARRY OUTS 6/22.5 OZ,PET CCO,6
681,681,JMSMUC,6 / 18.4 / OZ,DUNKIN CAF GR MIDNIGHT,LP401405,DN PPK BAG 16.5-18 OZ,COFFEE DN,6
52042,52042,JMSMUC,4 / 22.5 / OZ,CANINE CARRY OUT TACO,LP401547,CANINE CARRY OUTS 4/22.5 OZ,PET CCO,4
52043,52043,JMSMUC,4 / 47 / OZ,CCO BEEF,LP401542,CCO SNCKS 47-50 OZ,PET CCO,4
52044,52044,JMSMUC,4 / 47 / OZ,CCO BACON,LP401542,CCO SNCKS 47-50 OZ,PET CCO,4
52045,52045,JMSMUC,4 / 47 / OZ,CCO BEEF AND CHEESE,LP401542,CCO SNCKS 47-50 OZ,PET CCO,4
70179,70179,JMSMUC,4 / 20.5 / OZ,PP  RDS BF BRSK DT,LP403384,PP ROUND SNCKS 20.5 OZ,PET PP,4
52072,92327,JMSMUC,2 / 40 / OZ,MB MARO SNACKS S,LP400911,MKB MARO SNCKS 40 OZ,PET MKB,2
58730,58730,JMSMUC,4 / 20.5 / OZ,PP  RDS BF SHRT RIB DT,LP403384,PP ROUND SNCKS 20.5 OZ,PET PP,4
52099,52099,JMSMUC,1 / 30 / LB,MEOW MIX ORIG XXL WP BG,LP400845,MM 30-32 LB,PET MM,1
52169,90244,JMSMUC,2 / 4 / LB,MILK-BONE ORGL LARGE BISC,LP400908,MKB ORG BISCUITS 4 LB,PET MKB,2
52172,51411,JMSMUC,4 / 24 / OZ,MILK-BONE LRGE ORGL DOG,LP400870,MKB MARO SNCKS 24 OZ,PET MKB,4
682,682,JMSMUC,12 / 18 / OZ,SMUCKERS RED PLUM JAM,LP403447,SM GOOBER 18 OZ,FHS SM,12
51023,51023,JMSMUC,8 / 5.6 / OZ,PP BACON,LP400460,PP ROUND SNCKS 5 OZ,PET PP,8
52285,52285,JMSMUC,8 / 2.7 / OZ,MKB S&C BEEF&FIL MIGN,LP400939,MKB MINI BISCUITS 2.5 OZ,PET MKB,8
52286,52286,JMSMUC,8 / 2.7 / OZ,MKB SOFT CHEWY CHICKEN,LP400939,MKB MINI BISCUITS 2.5 OZ,PET MKB,8
52320,52320,JMSMUC,40 / 1.05 / OZ,FLGRS CLASSIC RST FILTER,,FG CAFF REG FIL PK 40 CT 0.9OZ,COFFEE FG,40
52321,703,JMSMUC,4 / 3.15 / LB,MM INDOOR SMALL BAG,LP400844,MM DRY SML BAG 3.05- 3.15 LB,PET MM,4
52322,710,JMSMUC,4 / 3.15 / LB,MM KITTEN SM BAG,LP400844,MM DRY SML BAG 3.05- 3.15 LB,PET MM,4
52323,51252,JMSMUC,4 / 3 / LB,MM TND CENTERS SLMN CHKN,LP403688,MM DRY SML BAG 3.05- 3.15 LB,PET MM,4
52325,39,JMSMUC,4 / 3.15 / LB,MM HAIRBALL SMALL BAG,LP400844,MM DRY SML BAG 3.05- 3.15 LB,PET MM,4
52326,51913,JMSMUC,4 / 3 / LB,MEOW MIX TNDR CNTR VITLTY,LP403688,MM DRY SML BAG 3.05- 3.15 LB,PET MM,4
52327,51375,JMSMUC,4 / 3.15 / LB,MEOW MIX ORIGINAL,LP400844,MM DRY SML BAG 3.05- 3.15 LB,PET MM,4
683,683,JMSMUC,12 / 18 / OZ,SMKRS PRESERVES RED RASP,LP400201,SM GOOBER 18 OZ,FHS SM,12
52501,52501,JMSMUC,4 / 8.44 / LB,MM SALMON AND CHICKEN,LP400829,MM TC DRY LARGE BAG 8.44 OZ,PET MM,4
3028,3028,JMSMUC,13 / 2 / OZ,PP BEEF HLDY ORNMNT,LP403600,PP DOG SNCKS 2 OZ,PET PP,13
52540,52540,JMSMUC,1 / 99 / OZ,MEOW MIX CLSC FVT VP 36PK,LP400854,MM WET VP 36 CT 2.75 OZ,PET MM,1
51236,51236,JMSMUC,8 / 5.6 / OZ,PP BEEF SWTPT MIX STIX,LP400460,PP ROUND SNCKS 5 OZ,PET PP,8
52753,52753,JMSMUC,4 / 10 / OZ,MKB HNY FLV PB DIP DG TRT,LP404773,MKB SNCKS 32 OZ,PET MKB,4
53301,53301,JMSMUC,8 / 5.6 / OZ,PP FILET MIGN & BACON,LP400460,PP ROUND SNCKS 5 OZ,PET PP,8
52772,52772,JMSMUC,5 / 6 / OZ,MB PILL POUCH CHCKN,LP400902,MKB PILL POUCH 6 - 7.6 OZ,PET MKB,5
52773,52773,JMSMUC,5 / 6 / OZ,MKB  PILL POUCH BACON,LP400902,MKB PILL POUCH 6 - 7.6 OZ,PET MKB,5
74188,,JMSMUC,48 / 5.6 / OZ,PP HOLIDAY TREAT BF/PR FS,LP403747,PET SHIPPERS/DISPLAY/PALLETS,PET PP,48
96064,96064,JMSMUC,6 / 8.2 / OZ,PP LEAN BEEF DOG TRT,LP403720,PP DOG SNCKS 8.2 OZ,PET PP,6
684,684,JMSMUC,12 / 18 / OZ,SM SDL BLACKBERRY JAM,LP400201,SM GOOBER 18 OZ,FHS SM,12
85014,85014,JMSMUC,4 / 38 / OZ,PP PRIME RIB FLAVOR,LP403513,PP DOG SNCKS 38 OZ,PET PP,4
27878,27878,JMSMUC,6 / 8.2 / OZ,PP PRM RIB DOG TRT,LP403720,PP DOG SNCKS 8.2 OZ,PET PP,6
52836,52836,JMSMUC,8 / 5.6 / OZ,PP RIB FLAVOR,LP400460,PP ROUND SNCKS 5 OZ,PET PP,8
52870,52870,JMSMUC,12 / 2.8 / OZ,CCO CHEW BONES BEEF SMALL,LP401553,CCO SNCKS CHW 2.2-2.8 OZ,PET CCO,12
52871,52871,JMSMUC,8 / 14 / OZ,CCO CHEW BONES BEEF SMALL,LP401554,CCO SNCKS SHW 14 OZ,PET CCO,8
52922,52922,JMSMUC,8 / 24 / OZ,MKB XMAS TIN SM BNE TRG,LP400935,MKB BISCUITS 16-24 OZ HLDY TIN,PET MKB,8
52957,52957,JMSMUC,2 / 2.75 / OZ,MEOW MIX WET VP 12CT,LP400850,MM WET SNGLS 2.75 OZ,PET MM,2
53041,52715,JMSMUC,5 / 3 / OZ,MM IRRESISTIBLES SFT CHKN,LP400815,MM TREATS SMALL BAG,PET MM,5
53099,53099,JMSMUC,6 / 36 / OZ,MKB HOL FLAVOR MINIS,LP402998,MKB MINI 36 OZ,PET MKB,6
53186,52994,JMSMUC,12 / 24 / OZ,MKB PBTR 3FLV VAR SM,LP403690,MKB BISCUITS HIGH TIER 16-24 O,PET MKB,12
22,22,JMSMUC,12 / 12 / OZ,SMCKR CHOC FUDGE TOPPING,LP400224,SM PB SPOONABLE,FHS SM,12
686,686,JMSMUC,12 / 18 / OZ,SMCKRS PRESERVES STRAWBRY,LP403446,SM GOOBER 18 OZ,FHS SM,12
53203,53203,JMSMUC,4 / 9.28 / LB,MM SALMON CHICKEN BONUS,LP400829,MM 9.28 LB,PET MM,4
53268,53268,JMSMUC,1 / 7 / LB,MKB PEANUT BTR DOG TREAT,LP400896,MKB FLAV BISCUITS 7 LB,PET MKB,1
22594,22594,JMSMUC,8 / 5 / OZ,PP RNDS  BF SHRT RIB DT,LP403383,PP ROUND SNCKS 5 OZ,PET PP,8
52762,52762,JMSMUC,8 / 2.5 / OZ,PP SWTPT & BEEF MIX STIX,LP400471,PP DOG SNCK SFT CHWY 5.6 OZ,PET PP,8
53696,53696,JMSMUC,4 / 24 / OZ,MKB FLVR SNCK LRG BISCUIT,LP403690,MKB SNCKS 24-30 OZ,PET MKB,4
52089,52089,JMSMUC,8 / 5.6 / OZ,PP TRAINING TREATS,LP400460,PP ROUND SNCKS 5 OZ,PET PP,8
58991,58991,JMSMUC,4 / 38 / OZ,PP TRIPLE STEAK FLAVOR,LP403513,PP DOG SNCKS 38 OZ,PET PP,4
54406,54406,JMSMUC,1 / 14.2 / LB,MM TC VITALITY BURSTS,LP404523,MM TENDER CENTERS PLT 14.2 LB,PET MM,1
54429,54429,JMSMUC,6 / 24 / OZ,MKB EASTER SM BSCT PAIL,LP403424,MKB GRN FR BISCUITS 22 OZ,PET MKB,6
54643,54643,JMSMUC,8 / 4.2 / OZ,FOLGERS BTRY CRML LTT STK,LP403840,FG LATTE STICKS 4.2 OZ,COFFEE FG,8
00690A,690,JMSMUC,6 / 20 / OZ,DN CAF WB ORIGINAL BLEND,LP401405,DN PPK BAG 18.4-20 OZ,COFFEE DN,6
54850,70210,JMSMUC,4 / 24 / OZ,MB MAROSNACKS ORIG,LP400936,MKB MARO SNCKS 24 OZ,PET MKB,4
55579,55579,JMSMUC,8 / 25 / OZ,SM STRAW FRUIT SPREAD,LP403673,SM ATURAL 25 OZ,FHS SM,8
56926,1111,JMSMUC,6 / 3.52 / OZ,BUSTELO INST FR DRD SUP,LP401587,BS FRZ DRIED INST 3.52 OZ,COFFEE BS,6
77243,77243,JMSMUC,8 / 2.5 / OZ,PP TRPL MEAT LOVERS FLV,LP400471,PP DOG SNCK SFT CHWY 5.6 OZ,PET PP,8
57295,60814,JMSMUC,20 / 2.5 / OZ,MKB FLVSNCK MINI BSCT,LP403773,MKB SNCK MINI 2.5 OZ,PET MKB,20
93170,,JMSMUC,48 / 5.6 / OZ,PP VAL DOG TREAT FS,LP403794,PET SHIPPERS/DISPLAY/PALLETS,PET PP,48
22240,22240,JMSMUC,8 / 2.5 / OZ,PP W/REAL BEEF BRISKET,LP400471,PP DOG SNCK SFT CHWY 5.6 OZ,PET PP,8
57964,57964,JMSMUC,7 / 4.5 / OZ,MB PB BTS PB BCN DT,LP403811,MKB SOFT CHWY BITES 4.5 OZ,PET MKB,7
77498,77498,JMSMUC,8 / 5.6 / OZ,PP W/REAL BEEF BRISKET,LP400460,PP ROUND SNCKS 5 OZ,PET PP,8
51021,51021,JMSMUC,8 / 5.6 / OZ,PUPPERONI BEEF,LP400460,PP ROUND SNCKS 5 OZ,PET PP,8
00690B,690,JMSMUC,12 / 18 / OZ,SMUCKERS APPLE JELLY,LP400203,SM GOOBER 18 OZ,FHS SM,12
52523,52523,JMSMUC,8 / 2.5 / OZ,PUPPERONI BEEF,LP400471,PP DOG SNCK SFT CHWY 5.6 OZ,PET PP,8
22947,22947,JMSMUC,4 / 16 / OZ,PUPPERONI BEEF DOG TRT,LP403830,PP DOG TREAT 16 OZ,PET PP,4
73782,73782,JMSMUC,6 / 8.2 / OZ,PUP-PERONI BEEF DOG TRT,LP403720,PP DOG SNCKS 8.2 OZ,PET PP,6
60118,60118,JMSMUC,13 / 2 / OZ,MKB MINI PB HLDY ORNMNT,LP403599,MKB MINI TREAT 2 OZ,PET MKB,13
51158,,JMSMUC,48 / 5.6 / OZ,PUP-PERONI BEEF/LEAN DISP,,PET SHIPPERS/DISPLAY/PALLETS,PET PP,48
60166,26487,JMSMUC,5 / 10 / OZ,MILK-BONE STFD BCN BF DT,LP403388,MKB SNCKS 10 OZ,PET MKB,5
60504,60504,JMSMUC,100 / 1 / OZ,SMCKR NAT BRKFST SRP PLST,,SM BRKFST SYRUP 1 OZ,FHS SM,100
60506,60506,JMSMUC,6 / 3.7 / OZ,FG 1850 EXPBLD 10CT K-CUP,LP401963,FG DRK 10 CT 3.7 OZ,COFFEE FG,6
60507,60507,JMSMUC,6 / 3.7 / OZ,FG 1850 TBZ MEDDRK 10 CT,LP401963,FG DRK 10 CT 3.7 OZ,COFFEE FG,6
60508,60508,JMSMUC,6 / 3.7 / OZ,FG 1850 BLKGLD DRK 10 CT,LP401963,FG DRK 10 CT 3.7 OZ,COFFEE FG,6
00692A,692,JMSMUC,12 / 18 / OZ,SM PINEAPPLE PRESERVES,LP403447,SM GOOBER 18 OZ,FHS SM,12
60513,60513,JMSMUC,6 / 12 / OZ,FG 1850 GR ILLUMINATOR,LP401961,FG 1850 GROUND PPK 12 OZ,COFFEE FG,6
60540,60540,JMSMUC,6 / 12 / OZ,FG 1850 CAF GR SUM EXC,LP401961,FG 1850 GROUND PPK 12 OZ,COFFEE FG,6
60541,60541,JMSMUC,6 / 12 / OZ,FG 1850 GR 100% COLOMBIAN,LP401961,FG 1850 GROUND PPK 12 OZ,COFFEE FG,6
70261,,JMSMUC,36 / 1 / EA,PUP-PERONI DOG TREAT SHPR,LP403459,PET SHIPPERS/DISPLAY/PALLETS,PET PP,36
51022,51022,JMSMUC,8 / 5.6 / OZ,PUP-PERONI LEAN BEEF,LP400460,PP ROUND SNCKS 5 OZ,PET PP,8
61288,61288,JMSMUC,8 / 8 / OZ,MKB PMK SPC SM BSCT BAG,LP403579,MKB BISCUITS 8 OZ,PET MKB,8
61612,61612,JMSMUC,8 / 25 / OZ,SM STRAW NATURAL SPREAD,LP401874,SM ATURAL 25 OZ,FHS SM,8
62208,62208,JMSMUC,2 / 1.25 / LT,FG 100% COLOMBIAN DECAF,,FG 100% COLMBN DECF 2/1.25 LTR,COFFEE FG,2
62209,62209,JMSMUC,2 / 1.25 / LT,FOLGERS SPECIAL RESERVE,,FG SPEC RESERVE 2 CT 1.25 LITR,COFFEE FG,2
22051,22051,JMSMUC,4 / 7.8 / OZ,PUPPERONI ORIGINAL BEEF,LP403251,PP DOG TREAT 7.8 OZ,PET PP,4
53368,53368,JMSMUC,8 / 2.5 / OZ,PUPPERONI PRIME RIB,LP400471,PP DOG SNCK SFT CHWY 5.6 OZ,PET PP,8
